"Turma","Qual sua faixa etária?","qual o seu gênero?","Selecione seu curso","Quantas disciplinas você matriculou para cursar no semestre?","Que tão motivado se sente em trabalhar em grupo de forma remota?","Qual a disponibilidade de tempo para cursar as disciplinas do semestre?","Selecione as disciplinas nas quais você tenha algum conhecimento ou que já cursou","Sugira um Aplicativo de Comunicação ","Qual o seu nível de experiência utilizando Git/GitHub ou outros sistemas de versionamento?","Qual a sua experiência em teste de software e no uso de ferramentas de teste unitário como JUnit,  Jest ou outras?","Qual a sua experiência no uso de sistemas de integração contínua como Jenkins?","Qual a sua experiência no desenvolvimento de software seguindo métodos ágeis?","Qual a sua experiência no gerenciamento de projetos ágeis?","Em quais das seguintes linguagens de programação você tem experiência?","Quais sistemas de gerenciamento de base de dados tem utilizado?","Qual sua experiência previa no desenvolvimento de software? Por exemplo, como estagiário, freelancer, ou participando em projetos open source, de IC/TCC, entre outros...","Em quais frameworks ou IDEs de desenvolvimento tem experiência?","Como considera seu nível de proficiência em leitura e escuta do Inglês?","Possui uma ideia de SI que possa ser explorada por você e seu grupo durante a disciplina? Se sim, faça uma breve descrição da ideia do SI. (Essa informação ajudará a formar os grupos e definir os projetos da disciplina). ","Em quais dos seguintes tipos de software você sente motivação de trabalhar?","Para quais dominios você teria interesse de construir software?"
2020,"18 a 22 anos","Homem","Engenharia de Computação","4,58636587389746",5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Programação, APOO","Slack",2,1,1,3,2,"Java, C, Python, C++","Nenhum","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Internet das Coisas (IoT), Chat bot","Sociedade, Saúde, Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software, Desenvolvimento em Cloud, Todas","Discord",5,4,4,5,4,"Python, JavaScript","PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",5,"Ainda não.","Aplicativos Web/Mobile, Games, Sistemas baseados em Serviços / Cloud","Saúde, Educação, Meio ambiente"
2021,"23 a 25 anos","Homem","Sistemas de Informação",4,1,"Dividir tempo entre TCC, disciplinas e trabalho em período integral","Todas","Discord",5,3,3,4,4,"Java, Python, JavaScript, PHP, Dart","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Eclipse, Visual Studio Code",5,"Ainda não possuo, porém sinto interesse em seguir algo relacionado à saúde (meu tcc hoje é sobre fisioterapia e meu trabalho é na área de saúde)","Aplicativos Web/Mobile, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte"
2021,"23 a 25 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software, Desenvolvimento em Cloud","Discord",4,1,1,4,4,"Python","PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, PyCharm",5,"Sim. Um sistema fiscal que possa auxiliar os usuários em relação aos problemas enfrentados no Brasil com base na tributação de produtos.","Sistemas robóticos / autônomos, Sistemas baseados em Serviços / Cloud","Saúde, Educação, Finanças"
2021,"23 a 25 anos","Homem","Sistemas de Informação",7,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",2,1,1,1,1,"C#","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Microsoft Visual Studio",2,"No momento não tenho nenhuma ideia.","Sistemas robóticos / autônomos, Sistemas de Big Data","Sociedade, Saúde"
2021,"26 a 29 anos","Homem","Sistemas de Informação",11,3,"Preciso dividir o tempo com o trabalho","Todas","Discord",4,4,3,3,3,"Java, JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",4,"não","Aplicativos Web/Mobile, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",8,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,1,1,4,2,"JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",2,"Não","Aplicativos Web/Mobile","Finanças, e-Commerce"
2021,"23 a 25 anos","Homem","Sistemas de Informação",5,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,1,1,"JavaScript, PHP","PostgreSQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",5,"Sem ideias por enquanto...","Aplicativos Web/Mobile","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças"
2021,"18 a 22 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com o trabalho e com iniciação científica","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,1,1,2,2,"Python, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, PyCharm",4,"Não tenho uma ideia ainda.","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2021,"18 a 22 anos","Mulher","Sistemas de Informação",7,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",2,2,2,2,1,"JavaScript, PHP","PostgreSQL","Experiência adquirida em projetos de disciplinas","Netbeans, Eclipse, IntelliJ, Visual Studio Code",2,"Nenhuma ideia de projeto ainda","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, e-Commerce"
